source,target,type,weight,source_name,target_name
1,392,gene-gene,0.543496676,ABL1,CRK
1,393,gene-gene,0.559341352,ABL1,CRKL
1,1318,gene-gene,0.581335116,ABL1,NTRK1
1,1319,gene-gene,0.337638332,ABL1,NTRK2
1,1320,gene-gene,0.5015424079999999,ABL1,NTRK3
1,1646,gene-gene,0.4695671600000001,ABL1,RIN1
1,2019,drug-gene,1.0,ABL1,Dasatinib
1,2027,drug-gene,1.0,ABL1,Nilotinib
2,392,gene-gene,0.401362146,ABL2,CRK
2,393,gene-gene,0.539584944,ABL2,CRKL
2,1646,gene-gene,0.48618939,ABL2,RIN1
2,2019,drug-gene,1.0,ABL2,Dasatinib
3,1687,gene-gene,0.4011893319999999,ACAA1,RXRA
3,1688,gene-gene,0.40681309,ACAA1,RXRB
3,1689,gene-gene,0.37442336,ACAA1,RXRG
4,1512,gene-gene,0.2052839698,ACACA,PRKAA1
5,1515,gene-gene,0.2182065352,ACACB,PRKAB2
5,1520,gene-gene,0.200679542,ACACB,PRKAG2
6,1463,gene-gene,0.33381066,ACADL,PPARD
6,1687,gene-gene,0.285538194,ACADL,RXRA
6,1688,gene-gene,0.467939256,ACADL,RXRB
6,1689,gene-gene,0.57184085,ACADL,RXRG
7,1462,gene-gene,0.266845359,ACADM,PPARA
7,1687,gene-gene,0.54601676,ACADM,RXRA
7,1688,gene-gene,0.383490674,ACADM,RXRB
7,1689,gene-gene,0.341598466,ACADM,RXRG
8,1462,gene-gene,0.356334632,ACOX1,PPARA
8,1463,gene-gene,0.387081786,ACOX1,PPARD
8,1687,gene-gene,0.523309798,ACOX1,RXRA
8,1688,gene-gene,0.478139836,ACOX1,RXRB
8,1689,gene-gene,0.537497232,ACOX1,RXRG
9,1462,gene-gene,0.2539259399999999,ACOX2,PPARA
9,1463,gene-gene,0.455331274,ACOX2,PPARD
9,1687,gene-gene,0.6380933040000001,ACOX2,RXRA
9,1688,gene-gene,0.586811142,ACOX2,RXRB
9,1689,gene-gene,0.484243128,ACOX2,RXRG
10,1462,gene-gene,0.2834572119999999,ACOX3,PPARA
10,1687,gene-gene,0.499403828,ACOX3,RXRA
10,1688,gene-gene,0.457761382,ACOX3,RXRB
10,1689,gene-gene,0.4385763459999999,ACOX3,RXRG
11,1464,gene-gene,0.2139412259999999,ACSBG1,PPARG
11,1687,gene-gene,0.508454678,ACSBG1,RXRA
11,1688,gene-gene,0.404712502,ACSBG1,RXRB
11,1689,gene-gene,0.469055546,ACSBG1,RXRG
12,1462,gene-gene,0.2214302759999999,ACSBG2,PPARA
12,1464,gene-gene,0.350483016,ACSBG2,PPARG
12,1687,gene-gene,0.4515835339999999,ACSBG2,RXRA
12,1688,gene-gene,0.5993934000000001,ACSBG2,RXRB
12,1689,gene-gene,0.614214306,ACSBG2,RXRG
13,1462,gene-gene,0.367868137,ACSL1,PPARA
13,1687,gene-gene,0.4925847,ACSL1,RXRA
13,1688,gene-gene,0.639791152,ACSL1,RXRB
13,1689,gene-gene,0.612361604,ACSL1,RXRG
14,1462,gene-gene,0.4253860956,ACSL3,PPARA
14,1687,gene-gene,0.508858186,ACSL3,RXRA
14,1688,gene-gene,0.398287614,ACSL3,RXRB
14,1689,gene-gene,0.505243426,ACSL3,RXRG
15,1462,gene-gene,0.20651921,ACSL5,PPARA
15,1464,gene-gene,0.27041175406,ACSL5,PPARG
15,1687,gene-gene,0.5966304179999999,ACSL5,RXRA
15,1688,gene-gene,0.638209642,ACSL5,RXRB
15,1689,gene-gene,0.584520418,ACSL5,RXRG
16,1462,gene-gene,0.293722522,ACSL6,PPARA
16,1464,gene-gene,0.207637762,ACSL6,PPARG
16,1687,gene-gene,0.394362336,ACSL6,RXRA
16,1688,gene-gene,0.5662109200000001,ACSL6,RXRB
16,1689,gene-gene,0.562902864,ACSL6,RXRG
18,323,gene-gene,0.215725728,ACTB,CDC42
18,1643,gene-gene,0.2437742487999999,ACTB,RHOA
19,1883,gene-gene,0.207618144,ACTG1,THRA
20,1160,gene-gene,0.203710966,ACVR1,MAPK11
20,1162,gene-gene,0.208021378,ACVR1,MAPK13
20,1163,gene-gene,0.38229657,ACVR1,MAPK14
20,1165,gene-gene,0.2042675759999999,ACVR1,MAPK3
26,222,gene-gene,0.229835288,ADCY1,CAMK4
38,1922,gene-gene,0.241514658,ADGRB1,TP53
39,1464,gene-gene,0.268101274,ADIPOQ,PPARG
39,1687,gene-gene,0.4475153967999999,ADIPOQ,RXRA
39,1688,gene-gene,0.54607732,ADIPOQ,RXRB
39,1689,gene-gene,0.459816428,ADIPOQ,RXRG
46,1519,gene-gene,0.2356134959999999,ADRA1A,PRKAG1
57,1397,gene-gene,0.256235604,AGAP2,PIK3CB
57,1400,gene-gene,0.31138803,AGAP2,PIK3R1
57,1402,gene-gene,0.3145221676,AGAP2,PIK3R3
58,1397,gene-gene,0.2705096588,AGER,PIK3CB
58,1398,gene-gene,0.283594849,AGER,PIK3CD
58,1400,gene-gene,0.205527051,AGER,PIK3R1
58,1435,gene-gene,0.2106427759999999,AGER,PLCB1
58,1436,gene-gene,0.272174344,AGER,PLCB2
58,990,gene-gene,0.221356421,AGER,JUN
58,1268,gene-gene,0.5046211740000001,AGER,NFKB1
59,1519,gene-gene,0.225655944,AGRP,PRKAG1
62,1922,gene-gene,0.2240328049999999,AIFM2,TP53
65,66,gene-gene,0.416099582,AKT1,AKT1S1
65,104,gene-gene,0.503267542,AKT1,ATF2
65,105,gene-gene,0.323667786,AKT1,ATF4
65,106,gene-gene,0.337602354,AKT1,ATF6B
65,153,gene-gene,0.463971772,AKT1,BCL2
65,329,gene-gene,0.326515306,AKT1,CDKN1A
65,349,gene-gene,0.398109506,AKT1,CHUK
65,385,gene-gene,0.292714824,AKT1,CREB3
65,386,gene-gene,0.354652684,AKT1,CREB3L1
65,387,gene-gene,0.3399762679999999,AKT1,CREB3L2
65,388,gene-gene,0.374929242,AKT1,CREB3L3
65,389,gene-gene,0.518600874,AKT1,CREB3L4
65,390,gene-gene,0.4019062639999999,AKT1,CREB5
65,643,gene-gene,0.3731317779999999,AKT1,FOXO1
