Drug A,Drug B,Cell Line Name,Score
dexamethasone,Sunitinib,SK-OV-3,-1.930224441335125
paclitaxel,Lapatinib,NCIH520,-10.415057364934407
paclitaxel,Dasatinib,HT144,-40.2101205720394
paclitaxel,Sunitinib,PA1,0.6962467393230812
Vorinostat,Dasatinib,NCIH23,-0.5734820606807138
Sunitinib,geldanamycin,RKO,2.765011277030255
paclitaxel,geldanamycin,UWB1289,0.2729453578388601
paclitaxel,Lapatinib,SKMEL30,-1.122073026503361
Dasatinib,geldanamycin,T-47D,-1.0190872666435924
Vorinostat,Dasatinib,CAOV3,5.58846482112586
paclitaxel,geldanamycin,NCIH1650,2.713132201978397
Dasatinib,Sorafenib,A2780,11.7225687296843
Lapatinib,Erlotinib,A2058,4.128157012788561
dexamethasone,Sunitinib,A427,-19.6175855102284
Dasatinib,geldanamycin,SKMEL30,-22.9515728231767
Lapatinib,geldanamycin,A2780,-4.81834176383161
Dasatinib,Sorafenib,NCIH2122,-11.9154244975033
geldanamycin,Sorafenib,CAOV3,1.3318185914773402
metformin,Erlotinib,T-47D,-47.9957157156951
Dasatinib,Sorafenib,NCIH1650,5.42147270471237
metformin,geldanamycin,RKO,-61.6890402284636
vinblastine,Vorinostat,HT29,-2.698100773809443
dexamethasone,Dasatinib,CAOV3,11.0853991753379
Vorinostat,Dasatinib,A2058,11.710679650337616
vinblastine,Lapatinib,NCI-H460,-2.491707941339629
Sunitinib,Sorafenib,HCT116,1.2705701336207027
Lapatinib,geldanamycin,UWB1289,-4.081394009803599
dexamethasone,Sunitinib,NCIH23,-22.6841489367301
vinblastine,Lapatinib,MDAMB436,-7.87226820943855
Vorinostat,Erlotinib,UWB1289,5.062784719364307
Vorinostat,Lapatinib,OCUBM,7.859716520666763
dexamethasone,Erlotinib,LOVO,-12.5922662394529
Lapatinib,Sorafenib,SK-OV-3,13.9953943577381
Erlotinib,Dasatinib,OV90,6.075310726130807
Erlotinib,Dasatinib,SW837,12.283123760680592
metformin,Lapatinib,OV90,-2.989164004622407
geldanamycin,Sorafenib,RPMI7951,-8.08045020128908
vinblastine,Sorafenib,MDAMB436,-16.517773128145326
geldanamycin,Sorafenib,UWB1289,-1.5699354762224491
metformin,Erlotinib,VCAP,-12.208208404490907
Vorinostat,geldanamycin,SW837,0.300408103033295
paclitaxel,geldanamycin,NCIH2122,-81.52648016021857
metformin,geldanamycin,OV90,-4.51305804704249
vinblastine,Dasatinib,OV90,5.344594984386832
vinblastine,Dasatinib,SK-OV-3,3.29681579894721
paclitaxel,geldanamycin,A2058,-1.6307504375632549
paclitaxel,Sunitinib,RKO,-2.35314836228574
vinblastine,Erlotinib,SW837,11.9978624338519
Vorinostat,geldanamycin,A375,-10.613183176373598
dexamethasone,Lapatinib,A375,-3.637071869773312
paclitaxel,Sorafenib,SKMES1,-0.1639564470097907
Sunitinib,Dasatinib,A2780,16.618750626525
paclitaxel,Vorinostat,NCIH23,-3.0345245902191325
paclitaxel,Vorinostat,HT29,4.768047800449637
paclitaxel,Erlotinib,UACC62,4.55602013063716
metformin,Sunitinib,NCI-H460,-3.681083449701528
vinblastine,Sorafenib,HT144,9.859104788483815
Lapatinib,Dasatinib,A375,-15.991582533821994
geldanamycin,Sorafenib,SKMEL30,-1.207429910073891
Vorinostat,Dasatinib,NCIH1650,5.220668557811489
Lapatinib,Sorafenib,SW-620,0.3837795244341289
metformin,Vorinostat,NCI-H460,-10.8237586662752
Sunitinib,Lapatinib,A375,-3.057699221935841
Vorinostat,Sunitinib,NCIH2122,-6.89310310865277
paclitaxel,geldanamycin,HT29,-2.924593214648255
paclitaxel,Vorinostat,NCIH2122,-1.1617148968623687
Lapatinib,geldanamycin,SKMES1,4.28301459624688
metformin,Lapatinib,A427,-14.285610883283098
Erlotinib,Dasatinib,HT144,-16.8307740899425
paclitaxel,geldanamycin,MDAMB436,3.42848617073407
Erlotinib,Sorafenib,SW-620,3.986867952152618
metformin,Lapatinib,RPMI7951,2.12749125232924
Vorinostat,geldanamycin,OVCAR3,-2.487076105276776
Lapatinib,Dasatinib,UACC62,3.8009101564042025
metformin,Erlotinib,SW837,-35.1782981083837
Erlotinib,Sorafenib,UACC62,2.679404112105611
Erlotinib,geldanamycin,UACC62,4.5031585012656095
Sunitinib,geldanamycin,LOVO,0.4007388327427847
paclitaxel,Sorafenib,A2780,2.409764321136161
metformin,Lapatinib,HCT116,-5.785469568057495
Lapatinib,geldanamycin,SK-OV-3,3.812227003524945
Vorinostat,Sunitinib,LOVO,2.53362859007723
paclitaxel,Erlotinib,A2058,-3.9965921287470247
Erlotinib,Dasatinib,SK-OV-3,8.16191414696451
metformin,Sorafenib,SW-620,-51.4043293278057
metformin,Lapatinib,NCIH1650,-17.0078420331655
metformin,geldanamycin,SKMES1,-33.7712071062874
paclitaxel,Dasatinib,MDAMB436,1.2555345380058751
dexamethasone,Dasatinib,HCT116,-20.5869014386951
dexamethasone,Dasatinib,LOVO,3.7667366885646025
Dasatinib,Sorafenib,A2058,12.966325580978296
paclitaxel,Vorinostat,A2058,-7.071587649042333
paclitaxel,Vorinostat,SK-OV-3,5.978124919049687
vinblastine,Sunitinib,OCUBM,0.8069046214032297
dexamethasone,Lapatinib,UWB1289,-31.934070451053
vinblastine,Dasatinib,MDAMB436,2.81101468536903
vinblastine,geldanamycin,HT29,-6.46133524603972
metformin,Erlotinib,OVCAR3,-50.1674018945849
metformin,Vorinostat,VCAP,-62.9612541332419
vinblastine,Vorinostat,SK-OV-3,5.053393098685065
paclitaxel,Sorafenib,CAOV3,-1.5178355576616795
geldanamycin,Sorafenib,NCIH23,0.6681105368389735
vinblastine,Erlotinib,MDAMB436,5.07108724357905
Vorinostat,Erlotinib,HT144,2.71319811317338
metformin,Lapatinib,HT29,-11.916211326129387
vinblastine,Vorinostat,NCIH23,-5.830142578087577
Vorinostat,Sorafenib,RPMI7951,-10.539071528779305
Erlotinib,Sorafenib,UWB1289,8.474782023793379
Lapatinib,Dasatinib,NCIH2122,-17.190033530139498
Erlotinib,Sorafenib,NCI-H460,1.51502173443586
dexamethasone,Vorinostat,RPMI7951,-42.4099588259267
geldanamycin,Sorafenib,MDAMB436,-11.864177458483407
paclitaxel,Dasatinib,NCIH1650,8.91646092056966
dexamethasone,Vorinostat,A2058,-42.637521131086125
paclitaxel,Lapatinib,NCIH1650,3.12612254618191
Lapatinib,Sorafenib,NCIH520,7.10938257895085
vinblastine,Erlotinib,UWB1289,7.33919324558513
metformin,Sorafenib,NCIH520,-40.922076323723
paclitaxel,Lapatinib,HCT116,4.780848076735348
Vorinostat,Erlotinib,NCIH520,8.2142562177934
Sunitinib,Lapatinib,OVCAR3,9.1356503291117
paclitaxel,Sorafenib,OV90,7.37064384347005
Lapatinib,Sorafenib,SW837,3.42951329804928
metformin,Vorinostat,A2780,-63.2346715672369
paclitaxel,Lapatinib,SW837,6.147225205740463
metformin,Sorafenib,SK-OV-3,-27.4476544011683
metformin,Vorinostat,A375,-77.3623903172369
Lapatinib,geldanamycin,A2058,-1.178255647098801
Lapatinib,Sorafenib,NCIH23,-1.6422791314174887
vinblastine,Vorinostat,SKMES1,-3.773219093074008
Vorinostat,Sorafenib,NCIH23,-6.81516141534704
Sunitinib,Sorafenib,NCIH520,-2.489313079893845
metformin,Sorafenib,SKMES1,-13.547300817594484
metformin,Sorafenib,T-47D,-1.3326443092463092
Vorinostat,Sorafenib,A427,-4.4222229386498375
Dasatinib,geldanamycin,LOVO,2.35164464781062
Vorinostat,Erlotinib,A375,2.8348518495029404
geldanamycin,Sorafenib,A375,4.123908949931413
Vorinostat,Dasatinib,NCI-H460,-4.361976736345532
vinblastine,Erlotinib,A2058,6.4251548431743295
metformin,geldanamycin,PA1,-89.04756219223692
Lapatinib,Erlotinib,SK-OV-3,4.97603191479674
Sunitinib,geldanamycin,UACC62,8.017093587799739
vinblastine,Sorafenib,RKO,10.11870938841209
Vorinostat,Erlotinib,OVCAR3,3.54836143321337
Erlotinib,geldanamycin,A2780,3.3452637215970498
Lapatinib,Erlotinib,NCIH1650,2.63206586722876
metformin,Erlotinib,CAOV3,-50.4820483838523
dexamethasone,Lapatinib,A2058,-17.8084408175675
dexamethasone,Dasatinib,HT29,-13.563015982384195
paclitaxel,Vorinostat,MDAMB436,2.28163515100639
dexamethasone,Dasatinib,OCUBM,-18.5277286275242
paclitaxel,Vorinostat,LOVO,2.1560784090827942
dexamethasone,Erlotinib,A427,-28.0636361890057
Erlotinib,Sorafenib,RPMI7951,-10.626155896203898
dexamethasone,Erlotinib,NCIH2122,7.45084701577923
metformin,Dasatinib,SK-OV-3,-16.1535771788668
dexamethasone,Sorafenib,LOVO,-3.270422191581055
vinblastine,Sorafenib,PA1,-1.338045882914232
vinblastine,geldanamycin,T-47D,-39.4932668903457
metformin,Lapatinib,NCIH2122,-41.8026500314277
paclitaxel,Erlotinib,NCIH23,-2.7468186065138984
metformin,Vorinostat,UACC62,-24.577379709126298
dexamethasone,geldanamycin,A375,-34.7812340468876
Erlotinib,Sorafenib,SW837,-3.01321716593974
dexamethasone,Sunitinib,RPMI7951,-14.4061745570978
vinblastine,Vorinostat,PA1,-3.0836644409391925
metformin,Vorinostat,NCIH2122,-33.3004252633332
Sunitinib,Erlotinib,SKMES1,12.331931266595111
Sunitinib,geldanamycin,OVCAR3,-2.99361591491145
vinblastine,Erlotinib,A2780,6.00089213826483
metformin,Vorinostat,SKMEL30,-46.6686841099013
Lapatinib,Dasatinib,HT29,11.19992297656359
dexamethasone,Sunitinib,SW837,-26.5129077898497
vinblastine,Lapatinib,A2058,-10.901275449743116
dexamethasone,Sorafenib,NCIH23,-14.3103126367969
paclitaxel,Vorinostat,A2780,2.046344769010002
vinblastine,Sorafenib,A2058,7.570838092245207
dexamethasone,geldanamycin,SKMES1,-12.2774867069717
metformin,Sunitinib,HCT116,-58.24412469223692
dexamethasone,Dasatinib,SK-OV-3,-2.367312137177082
Sunitinib,Dasatinib,SKMEL30,-12.909180343140196
paclitaxel,Lapatinib,OV90,0.7709161631446207
dexamethasone,Dasatinib,T-47D,-16.4599719883519
metformin,Dasatinib,NCIH1650,-13.2363849677504
dexamethasone,Sorafenib,SW-620,-12.9397422629832
vinblastine,Erlotinib,HCT116,9.090654061652296
Sunitinib,geldanamycin,NCIH1650,5.3817717725564
vinblastine,Erlotinib,NCIH2122,7.66334596528203
Erlotinib,geldanamycin,OCUBM,0.3065104335081801
vinblastine,geldanamycin,CAOV3,0.0285872237409883
dexamethasone,Vorinostat,RKO,-28.13472322157985
Sunitinib,Dasatinib,SK-OV-3,7.543407488617369
paclitaxel,geldanamycin,UACC62,-0.1160299782726794
Sunitinib,Erlotinib,PA1,8.656689402528613
dexamethasone,Erlotinib,RPMI7951,-38.4849400567448
Sunitinib,Dasatinib,OVCAR3,-2.23616712442702
metformin,Lapatinib,UACC62,-69.1366966634013
vinblastine,Vorinostat,HT144,1.7336328627834918
dexamethasone,Erlotinib,A2058,-41.1395198834054
Vorinostat,Lapatinib,NCIH1650,4.43276114617859
metformin,Sorafenib,A375,-46.2372447228831
Sunitinib,Sorafenib,HT144,3.33951124606136
Sunitinib,geldanamycin,SK-OV-3,2.78743688363977
