Drug A,Drug B,Cell Line Name,Score
metformin,Erlotinib,OV90,-3.5546157663424616
paclitaxel,Erlotinib,MDAMB436,0.7982616963508231
vinblastine,Sunitinib,A2780,6.430237727930085
Vorinostat,Sorafenib,LOVO,-10.386374558578522
metformin,Lapatinib,SKMEL30,-19.6754058911438
vinblastine,Vorinostat,SW-620,-7.940842049461227
paclitaxel,Dasatinib,A375,6.364261125349779
paclitaxel,Sorafenib,NCIH520,0.8838679103249854
paclitaxel,Sorafenib,SKMEL30,3.24770439300306
Erlotinib,Sorafenib,NCIH2122,-7.815562497274902
vinblastine,Sunitinib,A427,5.81602235619721
paclitaxel,Sunitinib,RPMI7951,-22.8644313188967
vinblastine,Dasatinib,LOVO,3.7092867134231
paclitaxel,Sunitinib,HT144,-2.5590885431480426
dexamethasone,Vorinostat,T-47D,-38.7823663998969
Sunitinib,Erlotinib,RPMI7951,-4.349210006555943
dexamethasone,Erlotinib,A2780,-26.5692742661385
Dasatinib,Sorafenib,PA1,4.62415639298937
Vorinostat,Lapatinib,VCAP,3.27144637329635
metformin,Sunitinib,LOVO,-33.7845903951132
dexamethasone,Vorinostat,UACC62,-35.1709788883515
Lapatinib,Dasatinib,NCIH23,3.887422638441485
dexamethasone,Sorafenib,A2780,-12.2162083245621
metformin,Lapatinib,SK-OV-3,-12.955988512618
Dasatinib,geldanamycin,NCIH1650,9.62907409316032
Lapatinib,Erlotinib,VCAP,1.026942322157092
vinblastine,Vorinostat,NCIH520,-3.15887949932979
dexamethasone,Erlotinib,MDAMB436,-23.2954444871652
Vorinostat,Lapatinib,HT29,5.86288473591452
paclitaxel,geldanamycin,RKO,4.743603615290096
Vorinostat,Sorafenib,PA1,-4.062121175440552
Erlotinib,Dasatinib,PA1,6.488490212037078
Lapatinib,Erlotinib,T-47D,0.90894434552881
Vorinostat,Sunitinib,T-47D,-14.434457477598505
metformin,geldanamycin,UACC62,-26.79502671025515
Lapatinib,Erlotinib,HCT116,-5.139364658294922
Vorinostat,geldanamycin,NCIH23,-10.274169876330886
vinblastine,Lapatinib,SK-OV-3,3.37898618824583
dexamethasone,Vorinostat,OV90,-7.952166005584182
metformin,Lapatinib,VCAP,-9.657849716236
metformin,Lapatinib,CAOV3,-27.8195558011628
paclitaxel,Dasatinib,SKMEL30,-26.6651088566214
Dasatinib,geldanamycin,NCI-H460,-15.0412339008878
vinblastine,geldanamycin,NCIH23,-4.65691689928222
metformin,Sorafenib,UACC62,-26.24662901330595
paclitaxel,Lapatinib,PA1,0.4646043967887734
paclitaxel,Sorafenib,A375,6.07843040491799
metformin,geldanamycin,CAOV3,-9.619042312244815
metformin,Vorinostat,PA1,-48.51478094223695
Vorinostat,Lapatinib,NCIH2122,3.77256113899207
paclitaxel,Erlotinib,OVCAR3,3.58036180553514
Lapatinib,Sorafenib,CAOV3,8.13893448615947
vinblastine,Dasatinib,OCUBM,0.60779733849738
Vorinostat,Sorafenib,A2780,-2.377061578670744
vinblastine,Dasatinib,NCIH1650,3.42669038506664
Lapatinib,Erlotinib,NCI-H460,-1.6552655274048038
metformin,Dasatinib,A375,-57.144820014625296
Sunitinib,Lapatinib,RPMI7951,11.616605850275496
dexamethasone,Vorinostat,A427,-37.1716279374795
paclitaxel,Vorinostat,A375,-1.9802660997523944
geldanamycin,Sorafenib,OV90,1.1848602197973823
Erlotinib,geldanamycin,SKMES1,6.02246857213521
vinblastine,geldanamycin,SKMEL30,-13.5091075877696
dexamethasone,Sorafenib,A375,-3.8453528225106623
Vorinostat,Erlotinib,SK-OV-3,2.204062447972561
Lapatinib,geldanamycin,OVCAR3,4.967381413305823
metformin,Sorafenib,HCT116,-49.5120706514507
Erlotinib,Dasatinib,OCUBM,1.7387039934851498
Lapatinib,geldanamycin,OV90,2.578081311550471
Erlotinib,geldanamycin,RPMI7951,-2.54688332955635
Dasatinib,geldanamycin,HT144,-37.9495035857927
geldanamycin,Sorafenib,OVCAR3,-16.475900892606802
dexamethasone,Dasatinib,SKMES1,-8.700462669667385
metformin,Sunitinib,NCIH23,-21.5531296050118
geldanamycin,Sorafenib,NCIH520,2.283405953189745
vinblastine,Sunitinib,HCT116,0.1118559290339978
Sunitinib,geldanamycin,SW837,0.0548896546292299
Sunitinib,Dasatinib,UWB1289,1.5259403537211615
dexamethasone,Erlotinib,OV90,-3.5390830989045075
metformin,Dasatinib,UACC62,-13.4460672849668
Sunitinib,Dasatinib,T-47D,1.0880788430276551
metformin,Sunitinib,A2780,-40.5029244010595
Vorinostat,Lapatinib,SW-620,-24.4432878855492
dexamethasone,geldanamycin,SKMEL30,-12.500029270357295
vinblastine,Lapatinib,RKO,-7.06329362397977
Vorinostat,Erlotinib,LOVO,5.009535132419683
dexamethasone,Dasatinib,OVCAR3,-5.179391847578812
metformin,Erlotinib,HT29,-17.7883076547542
vinblastine,Vorinostat,LOVO,-2.43808381047612
metformin,Sorafenib,LOVO,-34.0729170807354
Sunitinib,Sorafenib,SKMEL30,2.76912169862866
metformin,Vorinostat,HCT116,-62.9031214125763
metformin,Vorinostat,A2058,-8.72128086410909
Lapatinib,Erlotinib,SW837,1.741670982094262
dexamethasone,Sorafenib,SK-OV-3,-0.6884117876070912
Sunitinib,geldanamycin,HT29,2.6210618799141923
Lapatinib,geldanamycin,MDAMB436,4.4105627388370605
Erlotinib,Sorafenib,OVCAR3,-6.066411004621831
Sunitinib,Erlotinib,SW-620,-4.813871520282443
paclitaxel,Vorinostat,T-47D,7.692941411907634
dexamethasone,Lapatinib,HT29,-23.7494411406013
Erlotinib,geldanamycin,NCIH23,-1.5082203021212124
Vorinostat,Erlotinib,RPMI7951,5.954690473588823
vinblastine,Sorafenib,OVCAR3,-3.930469946192945
Vorinostat,Dasatinib,OCUBM,-0.5284321769112605
metformin,geldanamycin,NCIH520,-17.2817979072755
Vorinostat,geldanamycin,NCIH1650,-3.019531285218114
Dasatinib,geldanamycin,RPMI7951,-0.3887710448227697
paclitaxel,geldanamycin,OVCAR3,-11.341527235964405
metformin,Sorafenib,SKMEL30,-20.9507978903398
geldanamycin,Sorafenib,A2780,-0.190891674386513
dexamethasone,Sunitinib,CAOV3,4.052279150357491
metformin,Vorinostat,OV90,-4.853312003098937
vinblastine,Erlotinib,NCIH1650,4.00031385473591
Lapatinib,Erlotinib,LOVO,-1.2036514942358316
Erlotinib,Sorafenib,CAOV3,6.1026124307435
Vorinostat,Dasatinib,HCT116,-20.3623076046531
metformin,geldanamycin,A2780,-38.4962238749225
Vorinostat,Dasatinib,LOVO,-0.3136273830120112
paclitaxel,Erlotinib,A2780,1.7249239205326918
Dasatinib,geldanamycin,UACC62,-6.47138721063866
Lapatinib,Erlotinib,NCIH520,7.87379173269718
dexamethasone,Erlotinib,PA1,-13.053772031257305
Vorinostat,geldanamycin,HCT116,-4.01456885639382
paclitaxel,Sunitinib,A2780,3.0897024917955025
Lapatinib,Dasatinib,OVCAR3,1.292753014965791
Lapatinib,Sorafenib,RKO,2.76740193393285
paclitaxel,Erlotinib,CAOV3,5.506094216928792
vinblastine,geldanamycin,NCIH2122,-7.19378137939456
Vorinostat,Sunitinib,RKO,-4.03025121975644
vinblastine,Dasatinib,NCI-H460,-29.2662792150344
vinblastine,Sorafenib,NCI-H460,4.069163600073605
dexamethasone,geldanamycin,SW837,-24.5242345195019
Lapatinib,Sorafenib,PA1,2.4659746492236927
metformin,Dasatinib,OVCAR3,-4.11149235653684
Erlotinib,Sorafenib,HCT116,-3.41466344580097
paclitaxel,Vorinostat,NCI-H460,-1.4295761119406232
Sunitinib,Erlotinib,NCIH520,10.2532613363299
Sunitinib,geldanamycin,T-47D,15.4186986077963
geldanamycin,Sorafenib,SK-OV-3,4.133325903305868
Erlotinib,Dasatinib,NCIH2122,-21.5871320482388
Lapatinib,geldanamycin,CAOV3,8.45389840526827
vinblastine,geldanamycin,SW837,-0.2823200449385875
Sunitinib,Dasatinib,CAOV3,8.756217929094177
metformin,Sorafenib,HT144,-46.862925671502296
paclitaxel,Dasatinib,OVCAR3,2.13745295521649
metformin,Sunitinib,OCUBM,-35.155236696245
dexamethasone,geldanamycin,HT144,-40.2614734397264
paclitaxel,Erlotinib,NCIH520,-6.708306328674888
dexamethasone,geldanamycin,OCUBM,-20.3593816575191
Erlotinib,Dasatinib,NCI-H460,-0.4503474699443348
Dasatinib,Sorafenib,NCIH520,10.16232173056559
Sunitinib,Dasatinib,NCIH520,6.442434166934048
Erlotinib,geldanamycin,LOVO,-3.72583443525641
Sunitinib,Sorafenib,CAOV3,-3.60075442831331
metformin,Vorinostat,RKO,-70.65073406723695
Erlotinib,Dasatinib,RKO,1.30779520720034
dexamethasone,Dasatinib,NCIH23,-7.18713065449027
paclitaxel,Dasatinib,RKO,4.452168509343501
Lapatinib,Erlotinib,CAOV3,4.54734483862441
dexamethasone,Vorinostat,HCT116,-38.4626262988146
Lapatinib,Sorafenib,NCIH1650,8.829561804598438
dexamethasone,Sunitinib,SKMES1,-1.5220929784942658
Erlotinib,Sorafenib,PA1,-0.7762273913233743
Lapatinib,Sorafenib,SKMEL30,3.9797293996962297
metformin,Vorinostat,OVCAR3,-51.6773231694491
metformin,Sunitinib,T-47D,15.384553292915324
vinblastine,Sunitinib,NCIH1650,-2.0585753436264698
dexamethasone,geldanamycin,NCIH2122,-7.734574598544068
metformin,Lapatinib,T-47D,-9.59094984812801
dexamethasone,geldanamycin,OVCAR3,-25.9801803981754
Sunitinib,Lapatinib,T-47D,4.366245372711767
Dasatinib,Sorafenib,HCT116,4.40921359309415
paclitaxel,Vorinostat,CAOV3,-13.861300672159
dexamethasone,Vorinostat,NCIH1650,-17.5589533745204
Vorinostat,Sunitinib,SW-620,-6.291328737399075
paclitaxel,geldanamycin,NCI-H460,-2.698758931910008
Erlotinib,Sorafenib,A427,3.682989905065457
paclitaxel,Sorafenib,NCIH1650,-5.00028834575103
Sunitinib,Lapatinib,SK-OV-3,16.1850033157246
metformin,Vorinostat,HT144,-23.6042929930625
Vorinostat,Dasatinib,RKO,-1.2236747050651609
dexamethasone,Erlotinib,SW837,-13.037072413777096
vinblastine,Dasatinib,UWB1289,4.05485944970297
Vorinostat,Sunitinib,CAOV3,1.5718362711845366
Vorinostat,Erlotinib,PA1,-0.810306898238276
paclitaxel,Sunitinib,SK-OV-3,7.36579899286375
Sunitinib,Lapatinib,LOVO,9.06213659212517
dexamethasone,Sunitinib,HT144,-9.362863686069195
Dasatinib,geldanamycin,OCUBM,6.55729051148795
paclitaxel,Sorafenib,HCT116,-1.4872271509121793
metformin,geldanamycin,HT144,-22.4462583852743
Vorinostat,Lapatinib,PA1,1.0271109700113177
Erlotinib,geldanamycin,CAOV3,3.320229681965675
Lapatinib,geldanamycin,SW-620,-26.1965705632023
metformin,Lapatinib,OVCAR3,-14.6157572128631
dexamethasone,Sorafenib,HT29,-16.600339428286603
metformin,Dasatinib,PA1,-6.686975812883663
paclitaxel,Lapatinib,A375,-11.9965988914421
Erlotinib,Dasatinib,T-47D,2.726862934921635
Vorinostat,Erlotinib,RKO,-2.588665914009158
