node_num,node_name,node_type
1,ABL1,gene
2,ABL2,gene
3,ACAA1,gene
4,ACACA,gene
5,ACACB,gene
6,ACADL,gene
7,ACADM,gene
8,ACOX1,gene
9,ACOX2,gene
10,ACOX3,gene
11,ACSBG1,gene
12,ACSBG2,gene
13,ACSL1,gene
14,ACSL3,gene
15,ACSL5,gene
16,ACSL6,gene
18,ACTB,gene
19,ACTG1,gene
20,ACVR1,gene
26,ADCY1,gene
38,ADGRB1,gene
39,ADIPOQ,gene
46,ADRA1A,gene
57,AGAP2,gene
58,AGER,gene
59,AGRP,gene
62,AIFM2,gene
65,AKT1,gene
66,AKT1S1,gene
67,AKT2,gene
68,AKT3,gene
70,ALDOB,gene
72,AMH,gene
75,ANGPT1,gene
76,ANGPT2,gene
77,ANGPT4,gene
78,ANGPTL4,gene
79,AOX1,gene
87,APOA1,gene
88,APOA2,gene
89,APOA5,gene
90,APOC3,gene
91,AQP7,gene
93,AREG,gene
100,ARNT,gene
102,ARRB2,gene
104,ATF2,gene
105,ATF4,gene
106,ATF6B,gene
111,ATP1A1,gene
112,ATP1A2,gene
113,ATP1A3,gene
114,ATP1A4,gene
115,ATP1B1,gene
116,ATP1B2,gene
117,ATP1B3,gene
119,ATP2A2,gene
120,ATP2A3,gene
137,ATR,gene
141,AVPR1A,gene
142,AVPR1B,gene
146,BAD,gene
149,BAX,gene
150,BBC3,gene
151,BCAR1,gene
152,BCL10,gene
153,BCL2,gene
154,BCL2A1,gene
155,BCL2L1,gene
157,BCL3,gene
161,BDNF,gene
163,BID,gene
164,BIRC2,gene
165,BIRC3,gene
175,BMPR1A,gene
176,BMPR1B,gene
177,BMPR2,gene
180,BORCS8-MEF2B,gene
183,BRCA1,gene
184,BTC,gene
186,CAB39,gene
187,CAB39L,gene
210,CALM3,gene
212,CALML4,gene
218,CAMK2A,gene
219,CAMK2B,gene
220,CAMK2D,gene
221,CAMK2G,gene
222,CAMK4,gene
223,CAMKK2,gene
224,CAMP,gene
226,CARD11,gene
233,CARD9,gene
237,CASP3,gene
241,CASP8,gene
249,CBL,gene
250,CBLB,gene
254,CCL11,gene
259,CCL17,gene
262,CCL2,gene
263,CCL20,gene
265,CCL22,gene
272,CCL3,gene
273,CCL3L1,gene
274,CCL3L3,gene
275,CCL4,gene
276,CCL4L1,gene
277,CCL4L2,gene
278,CCL5,gene
279,CCL7,gene
285,CCND1,gene
286,CCND2,gene
287,CCND3,gene
288,CCNE1,gene
289,CCNE2,gene
291,CCNG2,gene
295,CCR3,gene
303,CD19,gene
307,CD28,gene
308,CD36,gene
309,CD38,gene
310,CD3E,gene
311,CD4,gene
314,CD79A,gene
315,CD79B,gene
319,CD8A,gene
320,CD8B,gene
321,CDC25B,gene
322,CDC37,gene
323,CDC42,gene
327,CDK4,gene
329,CDKN1A,gene
330,CDKN1B,gene
332,CDKN2B,gene
335,CEBPB,gene
337,CFLAR,gene
338,CFTR,gene
342,CHEK1,gene
343,CHEK2,gene
349,CHUK,gene
350,CIR1,gene
351,CISH,gene
358,CLIP1,gene
359,CNR1,gene
360,CNTF,gene
362,COL1A1,gene
363,COL1A2,gene
380,CPT1A,gene
381,CPT1B,gene
382,CPT1C,gene
383,CPT2,gene
384,CREB1,gene
385,CREB3,gene
386,CREB3L1,gene
387,CREB3L2,gene
388,CREB3L3,gene
389,CREB3L4,gene
390,CREB5,gene
391,CREBBP,gene
392,CRK,gene
393,CRKL,gene
394,CRTC2,gene
395,CSF1,gene
396,CSF1R,gene
397,CSF2,gene
399,CSF3,gene
401,CSH1,gene
402,CSH2,gene
403,CSN2,gene
415,CTBP1,gene
416,CTBP2,gene
417,CTF1,gene
422,CTNNB1,gene
427,CTSD,gene
431,CX3CR1,gene
432,CXCL1,gene
433,CXCL10,gene
439,CXCL2,gene
440,CXCL3,gene
441,CXCL5,gene
442,CXCL6,gene
443,CXCL8,gene
446,CXCR2,gene
454,CYP27A1,gene
455,CYP7A1,gene
456,CYP8B1,gene
462,DAAM1,gene
465,DAPP1,gene
467,DBI,gene
472,DDIT3,gene
475,DEFB4A,gene
476,DEFB4B,gene
478,DEPTOR,gene
487,DLG1,gene
495,DOCK2,gene
505,DUSP1,gene
506,DUSP10,gene
507,DUSP16,gene
508,DUSP2,gene
509,DUSP3,gene
510,DUSP4,gene
511,DUSP5,gene
512,DUSP6,gene
513,DUSP7,gene
514,DUSP8,gene
520,EBAG9,gene
524,EDN1,gene
530,EEF2K,gene
532,EFNA1,gene
533,EFNA2,gene
534,EFNA3,gene
535,EFNA4,gene
536,EFNA5,gene
537,EGF,gene
538,EGFR,gene
541,EGLN3,gene
543,EGR2,gene
545,EHHADH,gene
547,EIF4B,gene
551,EIF4EBP1,gene
552,ELAVL1,gene
553,ELF5,gene
554,ELK4,gene
555,ELMO1,gene
559,ENO1,gene
562,ENO4,gene
563,EP300,gene
564,EPHA2,gene
565,EPO,gene
567,ERBB2,gene
568,ERBB3,gene
569,ERBB4,gene
571,EREG,gene
572,ESR1,gene
573,ESR2,gene
575,ETS1,gene
583,F2R,gene
585,F3,gene
586,FABP1,gene
587,FABP3,gene
588,FABP4,gene
589,FADD,gene
590,FADS2,gene
591,FARP2,gene
601,FCER1A,gene
602,FCER1G,gene
605,FGF1,gene
606,FGF10,gene
607,FGF17,gene
608,FGF18,gene
609,FGF19,gene
610,FGF2,gene
611,FGF20,gene
612,FGF21,gene
613,FGF22,gene
614,FGF23,gene
615,FGF3,gene
616,FGF4,gene
617,FGF5,gene
618,FGF6,gene
619,FGF7,gene
620,FGF8,gene
621,FGF9,gene
622,FGFR1,gene
623,FGFR2,gene
624,FGFR3,gene
625,FGFR4,gene
626,FGR,gene
632,FLT1,gene
633,FLT3,gene
634,FLT3LG,gene
635,FLT4,gene
640,FOS,gene
641,FOSB,gene
642,FOSL1,gene
643,FOXO1,gene
644,FOXO3,gene
655,FXYD2,gene
657,FYN,gene
659,FZD10,gene
660,FZD2,gene
662,FZD4,gene
663,FZD5,gene
666,FZD8,gene
667,FZD9,gene
668,G6PC2,gene
669,G6PC3,gene
670,GAB1,gene
671,GAB2,gene
677,GADD45A,gene
678,GADD45B,gene
679,GADD45G,gene
681,GAPDH,gene
686,GCK,gene
690,GDNF,gene
691,GFAP,gene
692,GH1,gene
693,GH2,gene
699,GK2,gene
700,GLI1,gene
701,GLI2,gene
702,GLI3,gene
704,GNA11,gene
706,GNA13,gene
709,GNAI1,gene
710,GNAI2,gene
711,GNAI3,gene
713,GNAO1,gene
714,GNAQ,gene
715,GNAS,gene
716,GNB1,gene
717,GNB2,gene
718,GNB3,gene
719,GNB4,gene
720,GNB5,gene
721,GNG10,gene
722,GNG11,gene
723,GNG12,gene
724,GNG13,gene
725,GNG2,gene
726,GNG3,gene
727,GNG4,gene
728,GNG5,gene
729,GNG7,gene
730,GNG8,gene
731,GNGT1,gene
732,GNGT2,gene
738,GPRC6A,gene
740,GRB10,gene
741,GRB2,gene
762,GRM2,gene
763,GRM3,gene
768,GRM8,gene
771,GSK3B,gene
774,GTSE1,gene
776,GYS2,gene
778,HBEGF,gene
782,HCK,gene
783,HDAC1,gene
784,HDAC2,gene
785,HDAC3,gene
786,HDAC4,gene
788,HES1,gene
789,HES5,gene
790,HEY1,gene
793,HGF,gene
797,HIF1A,gene
800,HK2,gene
801,HK3,gene
803,HMGCR,gene
804,HMGCS1,gene
805,HMGCS2,gene
806,HMOX1,gene
808,HOMER1,gene
810,HOMER3,gene
811,HRAS,gene
815,HSP90AA1,gene
816,HSP90AB1,gene
817,HSP90B1,gene
818,HSPA1A,gene
820,HSPA1L,gene
822,HSPA6,gene
823,HSPA8,gene
828,HTR1E,gene
837,ICAM1,gene
838,ICOS,gene
845,IFNA1,gene
846,IFNA10,gene
847,IFNA13,gene
848,IFNA14,gene
849,IFNA16,gene
850,IFNA17,gene
851,IFNA2,gene
852,IFNA21,gene
853,IFNA4,gene
854,IFNA5,gene
855,IFNA6,gene
856,IFNA7,gene
857,IFNA8,gene
859,IFNAR2,gene
860,IFNB1,gene
861,IFNE,gene
862,IFNG,gene
863,IFNGR1,gene
864,IFNGR2,gene
865,IFNK,gene
866,IFNL1,gene
867,IFNL2,gene
868,IFNL3,gene
870,IFNW1,gene
871,IGF1,gene
872,IGF1R,gene
873,IGF2,gene
874,IGFBP3,gene
876,IKBKB,gene
878,IL10,gene
880,IL10RB,gene
881,IL11,gene
883,IL12A,gene
884,IL12B,gene
887,IL13,gene
888,IL15,gene
893,IL17D,gene
897,IL17RC,gene
899,IL18,gene
900,IL19,gene
901,IL1A,gene
902,IL1B,gene
905,IL2,gene
906,IL20,gene
908,IL20RB,gene
909,IL21,gene
911,IL22,gene
914,IL23A,gene
916,IL24,gene
921,IL3,gene
922,IL4,gene
924,IL5,gene
926,IL6,gene
927,IL6R,gene
928,IL6ST,gene
929,IL7,gene
930,IL7R,gene
931,IL9,gene
932,ILK,gene
939,INS,gene
942,INSR,gene
945,IRAK2,gene
948,IRF1,gene
949,IRF3,gene
950,IRF5,gene
951,IRF7,gene
952,IRF9,gene
953,IRS1,gene
954,IRS2,gene
956,ITCH,gene
967,ITGA8,gene
971,ITGAV,gene
974,ITGB3,gene
980,ITK,gene
984,JAG1,gene
986,JAK1,gene
987,JAK2,gene
988,JAK3,gene
989,JMJD7-PLA2G4B,gene
990,JUN,gene
991,JUND,gene
992,KAT2A,gene
993,KAT2B,gene
1000,KCNJ5,gene
1003,KCNJ9,gene
1010,KDR,gene
1013,KIF7,gene
1014,KIT,gene
1015,KITLG,gene
1016,KLF2,gene
1017,KLF4,gene
1019,KRAS,gene
1021,KRT10,gene
1022,KRT12,gene
1023,KRT13,gene
1024,KRT14,gene
1025,KRT15,gene
1026,KRT16,gene
1027,KRT17,gene
1028,KRT18,gene
1029,KRT19,gene
1030,KRT20,gene
1031,KRT23,gene
1032,KRT24,gene
1033,KRT25,gene
1034,KRT26,gene
1035,KRT27,gene
1036,KRT28,gene
1037,KRT31,gene
1038,KRT32,gene
1039,KRT33A,gene
1040,KRT33B,gene
1041,KRT34,gene
1042,KRT35,gene
1043,KRT36,gene
1044,KRT37,gene
1045,KRT38,gene
1046,KRT39,gene
1047,KRT40,gene
1048,KRT9,gene
1063,LAMTOR1,gene
1065,LAMTOR3,gene
1068,LAT,gene
1071,LCK,gene
1072,LCN2,gene
1073,LCP2,gene
1074,LDHA,gene
1075,LDHAL6A,gene
1076,LDHAL6B,gene
1078,LDHC,gene
1079,LEF1,gene
1082,LEP,gene
1089,LHCGR,gene
1090,LIF,gene
1104,LIPE,gene
1108,LPAR2,gene
1109,LPAR3,gene
1110,LPAR5,gene
1111,LPAR6,gene
1112,LPIN1,gene
1113,LPIN2,gene
1114,LPIN3,gene
1115,LPL,gene
1119,LSP1,gene
1124,LTBR,gene
1126,LYN,gene
1130,MALT1,gene
1131,MAML1,gene
1132,MAML2,gene
1133,MAML3,gene
1134,MAP2K1,gene
1135,MAP2K2,gene
1136,MAP2K3,gene
1137,MAP2K4,gene
1139,MAP2K6,gene
1140,MAP2K7,gene
1141,MAP3K1,gene
1145,MAP3K14,gene
1147,MAP3K20,gene
1149,MAP3K4,gene
1150,MAP3K5,gene
1152,MAP3K7,gene
