source,target,type,weight
ACVR1,MAPK11,gene-gene,0.203710966
ACVR1,MAPK13,gene-gene,0.208021378
ACVR1,MAPK14,gene-gene,0.38229657
ACVR1,MAPK3,gene-gene,0.2042675759999999
ADRA1A,PRKAG1,gene-gene,0.2356134959999999
AGAP2,PIK3CB,gene-gene,0.256235604
AGAP2,PIK3R1,gene-gene,0.31138803
AGAP2,PIK3R3,gene-gene,0.3145221676
AGER,PIK3CB,gene-gene,0.2705096588
AGER,PIK3CD,gene-gene,0.283594849
AGER,PIK3R1,gene-gene,0.205527051
AGER,PLCB1,gene-gene,0.2106427759999999
AGER,PLCB2,gene-gene,0.272174344
AKT1,AKT1S1,gene-gene,0.416099582
AKT1,ATF2,gene-gene,0.503267542
AKT1,ATF4,gene-gene,0.323667786
AKT1,ATF6B,gene-gene,0.337602354
AKT1,BCL2,gene-gene,0.463971772
AKT1,CDKN1A,gene-gene,0.326515306
AKT1,CHUK,gene-gene,0.398109506
AKT1,CREB3,gene-gene,0.292714824
AKT1,CREB3L1,gene-gene,0.354652684
AKT1,CREB3L2,gene-gene,0.3399762679999999
AKT1,CREB3L3,gene-gene,0.374929242
AKT1,CREB3L4,gene-gene,0.518600874
AKT1,CREB5,gene-gene,0.4019062639999999
AKT1,FOXO1,gene-gene,0.3731317779999999
AKT1,FOXO3,gene-gene,0.23218291
AKT1,IKBKB,gene-gene,0.265499088
AKT1,MAP2K4,gene-gene,0.2883053268
AKT1,MAP3K5,gene-gene,0.244972446
AKT1,MAPK1,gene-gene,0.3033241
AKT1,MAPK3,gene-gene,0.255216976
AKT1,MDM2,gene-gene,0.265939248
AKT1,MTOR,gene-gene,0.4299946979999999
AKT1,NFKB1,gene-gene,0.484158094
AKT1,NFKBIA,gene-gene,0.2550345719999999
AKT1,NFKBIB,gene-gene,0.2295801334
AKT1,NFKBIE,gene-gene,0.251765486
AKT1,NOS2,gene-gene,0.3474844499999999
AKT1,NOS3,gene-gene,0.2475201079999999
AKT1,NR4A1,gene-gene,0.319735466
AKT1,PDE3B,gene-gene,0.254657579
AKT1,PPP1CA,gene-gene,0.233699182
AKT1,PPP1R3B,gene-gene,0.2283574481999999
AKT1,RAF1,gene-gene,0.286668416
AKT1,RELA,gene-gene,0.358661138
AKT1,TSC2,gene-gene,0.208998536
AKT1S1,EIF4EBP1,gene-gene,0.216360076
AKT1S1,MTOR,gene-gene,0.420930756
AKT1S1,PPARG,gene-gene,0.276104346
AKT1S1,RPS6KB1,gene-gene,0.28492368
AKT1S1,RPS6KB2,gene-gene,0.359758946
AKT1S1,RPTOR,gene-gene,0.347240858
AKT1S1,ULK1,gene-gene,0.346021814
AKT2,AKT1S1,gene-gene,0.39763004
AKT2,ATF2,gene-gene,0.315931382
AKT2,ATF4,gene-gene,0.281529828
AKT2,ATF6B,gene-gene,0.3590543419999999
AKT2,BAD,gene-gene,0.2303090099999999
AKT2,BCL2,gene-gene,0.570408912
AKT2,BRCA1,gene-gene,0.2506787698
AKT2,CDKN1A,gene-gene,0.2066225219999999
AKT2,CHUK,gene-gene,0.356258362
AKT2,CREB1,gene-gene,0.369155372
AKT2,CREB3,gene-gene,0.232395764
AKT2,CREB3L1,gene-gene,0.268484326
AKT2,CREB3L2,gene-gene,0.380982938
AKT2,CREB3L3,gene-gene,0.280500266
AKT2,CREB3L4,gene-gene,0.32668891
AKT2,CREB5,gene-gene,0.461977658
AKT2,GSK3B,gene-gene,0.2432694672
AKT2,IKBKB,gene-gene,0.2583962979999999
AKT2,MAP3K5,gene-gene,0.244335482
AKT2,MAP3K8,gene-gene,0.253000978
AKT2,MAPK1,gene-gene,0.552776732
AKT2,MAPK3,gene-gene,0.229975378
AKT2,MDM2,gene-gene,0.2152999252
AKT2,MTOR,gene-gene,0.7031578059999999
AKT2,NFKB1,gene-gene,0.56410736
AKT2,NFKBIA,gene-gene,0.2176433847999999
AKT2,NFKBIB,gene-gene,0.282564404
AKT2,NFKBIE,gene-gene,0.28488327
AKT2,NOS3,gene-gene,0.2075811825999999
AKT2,NR4A1,gene-gene,0.2732487448
AKT2,PPP1CA,gene-gene,0.2139025779999999
AKT2,PPP1CB,gene-gene,0.2066980149999999
AKT2,PPP1CC,gene-gene,0.2208188267999999
AKT2,PPP1R3B,gene-gene,0.208845328
AKT2,RELA,gene-gene,0.252244476
AKT2,TBC1D7,gene-gene,0.241296496
AKT2,TSC1,gene-gene,0.2015983079999999
AKT3,AKT1S1,gene-gene,0.2648347279999999
AKT3,ATF2,gene-gene,0.242889842
AKT3,ATF4,gene-gene,0.260950464
AKT3,ATF6B,gene-gene,0.2842655859999999
AKT3,BAD,gene-gene,0.31645871
AKT3,BCL2,gene-gene,0.6080555679999999
AKT3,CDKN1A,gene-gene,0.2768327568
AKT3,CDKN1B,gene-gene,0.2115904778
AKT3,CHUK,gene-gene,0.251002688
AKT3,CREB1,gene-gene,0.3722593774
AKT3,CREB3,gene-gene,0.3600563659999999
AKT3,CREB3L2,gene-gene,0.2066338532
AKT3,CREB3L3,gene-gene,0.301753866
AKT3,CREB3L4,gene-gene,0.290004068
AKT3,CREB5,gene-gene,0.232998964
AKT3,FOXO1,gene-gene,0.258014446
AKT3,FOXO3,gene-gene,0.244151728
AKT3,IKBKB,gene-gene,0.356676846
AKT3,MAP2K4,gene-gene,0.276402628
AKT3,MAP3K5,gene-gene,0.2704530212
AKT3,MAP3K8,gene-gene,0.2694564151999999
AKT3,MAPK1,gene-gene,0.2980757128
AKT3,MAPK3,gene-gene,0.3912044879999999
AKT3,MTOR,gene-gene,0.647370894
AKT3,NFKB1,gene-gene,0.563206824
AKT3,NFKBIB,gene-gene,0.2274214918
AKT3,NFKBIE,gene-gene,0.2900518019999999
AKT3,NOS2,gene-gene,0.316474742
AKT3,NOS3,gene-gene,0.2484838198
AKT3,PDE3B,gene-gene,0.212500848
AKT3,RAF1,gene-gene,0.325879888
AKT3,RELA,gene-gene,0.2899861259999999
