src,dest,conv_bind_weight
18,1241,2.702732e-10
18,1242,1.9249585e-11
18,1243,4.3709748e-05
18,1822,1.4847438e-06
19,1241,0.05603945
19,1242,5.3692875e-06
19,1243,0.00039576142
19,1822,3.5069438e-06
20,23,0.024161667
20,177,0.20928062
20,798,0.038066383
20,1158,0.38345718
20,1160,0.07900252
20,1161,0.15417294
20,1162,0.30424193
20,1163,0.41664094
20,1165,0.09135359
20,1261,0.0411463
20,1765,0.01982878
20,1766,0.09707542
20,1767,0.49571207
20,1769,0.03580057
20,1772,8.197167e-05
21,1766,0.052748915
21,1767,0.037228752
22,1766,0.037437
22,1767,0.034489207
23,1766,0.14366107
23,1767,0.021693593
24,1766,0.012520031
24,1767,0.038169105
25,1292,2.4815822e-06
25,1293,1.11697425e-08
25,1294,0.002874946
25,1295,3.1565913e-12
26,1516,0.10870314
26,1517,0.12902008
26,1518,0.19174433
28,1516,0.002308238
28,1517,0.17294158
28,1518,0.04869826
29,1516,0.10398379
29,1517,0.10112157
29,1518,0.009661427
30,1516,0.036002256
30,1517,0.29350847
30,1518,0.15333238
31,1516,0.24090034
31,1517,0.18896773
31,1518,0.1232668
32,1516,0.015293375
32,1517,0.057410996
32,1518,0.08750295
33,1516,0.39076942
33,1517,0.11561495
33,1518,0.011546999
34,1516,0.0012470223
34,1517,0.038405824
34,1518,0.27328515
35,1516,0.16847378
35,1517,0.024611784
35,1518,0.24611607
36,37,0.0001542966
36,43,5.2313553e-12
36,52,8.769751e-06
36,497,6.538669e-13
36,499,0.019015893
36,652,4.22279e-08
36,698,8.144577e-08
36,703,0.00013234754
36,832,0.011422183
36,834,0.07799931
36,1089,0.27572283
36,1182,1.5580537e-10
36,1301,2.4687586e-07
36,1553,7.121961e-10
36,1945,0.00019694965
36,1973,3.8063894e-07
37,715,0.040098052
39,40,0.009499622
39,41,0.045927137
40,223,1.0162034e-07
40,1462,0.22456723
40,1821,2.4284996e-05
41,223,4.586309e-08
41,1462,0.34162664
41,1821,8.191421e-08
42,709,0.048832588
42,710,0.023755392
42,711,0.13227908
43,712,2.2300398e-11
43,714,2.5285083e-11
43,715,0.012437955
44,712,6.895478e-10
44,714,3.0847335e-07
44,715,0.008171719
45,709,0.17712794
45,710,0.006376701
45,711,0.020084493
46,704,3.813446e-06
