gene_idx,gene_name,degree
1,ABL1,2.9929210439999996
2,ABL2,1.42713648
3,ACAA1,1.373085186
4,ACACA,0.9276484102705062
5,ACACB,1.1775847935067
6,ACADL,1.6591289599999999
7,ACADM,1.537951259
8,ACOX1,2.2823632839999997
9,ACOX2,2.418404788
10,ACOX3,1.8243271647999997
11,ACSBG1,1.7509560411999998
12,ACSBG2,2.237104532
13,ACSL1,2.2759940896
14,ACSL3,2.0369534932000004
15,ACSL5,2.29629144206
16,ACSL6,2.024836404
17,ACTA2,0.12793759943896205
18,ACTB,0.6044379686941116
19,ACTG1,0.5557219985697317
20,ACVR1,2.7407912868079998
21,ACVR1B,0.18255578088536067
22,ACVR1C,0.19352034057228873
23,ACVR2A,0.4974012319856258
24,ACVR2B,0.1919121847403216
25,ADAM17,0.05252814170002222
26,ADCY1,1.2573076905678862
27,ADCY10,0.4403998886367634
28,ADCY2,1.0820915181795545
29,ADCY3,0.9778610443396305
30,ADCY4,1.1919388255642844
31,ADCY5,1.2378730434910896
32,ADCY6,1.039792305464766
33,ADCY7,1.3684901913011025
34,ADCY8,1.3620056525772322
35,ADCY9,1.1744001147520189
36,ADCYAP1,0.2546339938429173
37,ADCYAP1R1,0.17709129166256854
38,ADGRB1,0.241514658
39,ADIPOQ,1.9237914005999999
40,ADIPOR1,0.26919121067771135
41,ADIPOR2,0.2240390306949011
42,ADORA1,0.45856187624471473
43,ADORA2A,0.10305160625875205
44,ADORA2B,0.03239261141921628
45,ADORA3,0.2808635056045481
46,ADRA1A,1.273793628644022
47,ADRA1B,0.013237692762919738
48,ADRA1D,0.06174436985054894
49,ADRA2A,0.04102113654396467
50,ADRA2B,0.059063786335563355
51,ADRA2C,0.042657817858576426
52,ADRB1,0.29280821471265067
53,ADRB2,0.4219138529356283
54,ADRB3,0.29267743194791795
55,AFDN,0.554012781878913
56,AFP,0.00919996368068454
57,AGAP2,1.3038330625700976
58,AGER,3.6077561338039996
59,AGRP,1.00707937552
60,AGT,0.15560461720426633
61,AGTR1,0.5894445274012837
62,AIFM2,0.2240328049999999
63,AIM2,0.048940222851644455
64,AJUBA,6.17234368567936e-05
65,AKT1,26.61705400304801
66,AKT1S1,5.740392922800001
67,AKT2,25.983606085500004
68,AKT3,25.392007248709998
69,ALDOA,0.5344251442999999
70,ALDOB,0.5778034014
71,ALDOC,0.6015927282
72,AMH,1.2797549228939997
73,AMHR2,0.10905484650606506
74,ANAPC5,0.1478372150024174
75,ANGPT1,8.768433626799998
76,ANGPT2,7.9158466816
77,ANGPT4,7.8374558318000025
78,ANGPTL4,2.112618107
79,AOX1,1.9833109378
80,APAF1,0.0384897249176267
81,APBB1IP,0.12078835413050003
82,APC,0.041424168706290065
83,APC2,0.07502410106910254
84,APH1A,0.06684120654957383
85,APH1B,0.06231974993079212
86,APLNR,0.3752233220839567
87,APOA1,2.035898254
88,APOA2,2.00035932
89,APOA5,1.9126887088000002
90,APOC3,1.898791706
91,AQP7,1.6681494110000001
92,ARAP3,0.2406820816
93,AREG,8.042712118799999
94,ARF1,0.08792790458272504
95,ARF6,0.1351042279578298
96,ARHGDIA,0.13364256893999998
97,ARHGDIB,0.27398257806
98,ARHGDIG,0.21059971919999998
99,ARHGEF12,0.6527304131047131
100,ARNT,9.079009279112
101,ARRB1,0.697470142081435
102,ARRB2,0.6054134216608779
103,ASPH,0.037436656497352144
104,ATF2,11.62159214472
105,ATF4,9.58707093998
106,ATF6B,4.41490197574
107,ATG12,0.13356420065827718
108,ATG16L1,0.02459921784202787
109,ATG5,0.08688328486896055
110,ATM,0.3476304366184881
111,ATP1A1,1.5332289180320562
112,ATP1A2,1.4538194563338533
113,ATP1A3,1.306693203753719
114,ATP1A4,1.280607343065157
115,ATP1B1,1.6038126581275365
116,ATP1B2,1.6756812832807615
117,ATP1B3,1.629682950863994
118,ATP2A1,0.35142308044442416
119,ATP2A2,0.41684267178557477
120,ATP2A3,0.37137165400806904
121,ATP2B1,0.0643208292077361
122,ATP2B2,0.0740952811019402
123,ATP2B4,0.1032030741514683
124,ATP6V1A,0.003113003352390905
125,ATP6V1B1,0.020074896583217695
126,ATP6V1B2,0.043375869959022456
127,ATP6V1C1,0.07292446943620695
128,ATP6V1C2,0.010478434396721565
129,ATP6V1D,0.0013979024395907496
130,ATP6V1E1,0.006545596148881034
131,ATP6V1E2,0.10088025432678988
132,ATP6V1F,0.009727444827822042
133,ATP6V1G1,0.0550176380092008
134,ATP6V1G2,0.021746426224774688
135,ATP6V1G3,0.0007669624332236895
136,ATP6V1H,0.002225113591951564
137,ATR,0.233363480378
138,ATXN1,0.3672886508
139,ATXN1L,0.1589663669999999
140,AVP,0.13901292710770927
141,AVPR1A,0.8762348603634559
142,AVPR1B,0.8108262959513252
143,AXIN1,0.19284714506774622
144,AXIN2,0.1341970303143153
145,AZI2,0.022523547838225345
146,BAD,2.9905240548
147,BAG4,0.0731519474
148,BAMBI,0.2766055310390791
149,BAX,4.021139262999999
150,BBC3,0.2525020279887731
151,BCAR1,0.6504827709467537
152,BCL10,4.4864309874199995
153,BCL2,34.585892755
154,BCL2A1,0.6756747288
155,BCL2L1,4.2028883368
156,BCL2L11,0.101218859456
157,BCL3,1.38635970988
158,BCL6,0.20637529465999999
159,BDKRB1,0.023416650780098178
160,BDKRB2,0.44029991271133045
161,BDNF,10.0589642144
162,BECN1,0.002609353477520549
163,BID,0.437619964635378
164,BIRC2,1.8208005441039998
165,BIRC3,1.6182429124800002
166,BIRC5,0.03698629773200782
167,BLNK,0.3094838793095764
168,BMP2,0.4761104672225739
169,BMP4,0.5124994339503557
170,BMP5,0.21791398497321132
171,BMP6,0.35861723840781123
172,BMP7,0.1533813925333739
173,BMP8A,0.17954980329312348
174,BMP8B,0.19250114843533322
175,BMPR1A,3.68853734952
176,BMPR1B,3.0975790855999996
177,BMPR2,2.5577283216999995
178,BNIP3,0.16801382262
179,BOC,0.0031315596037693187
180,BORCS8-MEF2B,2.14532463
181,BRAF,0.6394434448806827
182,BRAP,0.43386054122035456
