Drug A,Drug B,Cell Line Name,Score
Vorinostat,Sunitinib,SK-OV-3,-5.775806690181939
vinblastine,Sorafenib,MDAMB436,-16.517773128145326
dexamethasone,Dasatinib,RPMI7951,-21.3629045873375
metformin,Vorinostat,SW837,-47.9875704511971
vinblastine,geldanamycin,VCAP,-20.7558388881914
vinblastine,Erlotinib,CAOV3,8.204494762209066
Sunitinib,geldanamycin,UACC62,8.017093587799739
metformin,Vorinostat,NCIH2122,-33.3004252633332
Dasatinib,geldanamycin,SW837,8.681027307740193
Vorinostat,Erlotinib,HT144,2.71319811317338
Sunitinib,Erlotinib,RKO,0.2475632146873464
paclitaxel,Lapatinib,OVCAR3,1.6198341998494314
dexamethasone,Sorafenib,RKO,-18.6292132467089
vinblastine,Lapatinib,UACC62,-0.4381862293696001
metformin,Lapatinib,UWB1289,-20.3746494688195
paclitaxel,geldanamycin,OCUBM,4.480465220149085
metformin,Sorafenib,NCIH2122,-18.23432595343749
vinblastine,Erlotinib,HT144,7.380729755239978
metformin,geldanamycin,A2780,-38.4962238749225
Lapatinib,Erlotinib,OVCAR3,-1.7237618714553775
Sunitinib,Erlotinib,NCIH2122,7.837521570550837
Sunitinib,Dasatinib,SK-OV-3,7.543407488617369
Sunitinib,Dasatinib,SW-620,8.86280218600469
vinblastine,Sorafenib,OCUBM,10.088450856398616
Vorinostat,Lapatinib,A2780,2.5565427438131976
paclitaxel,geldanamycin,SW837,-1.7174251595272625
metformin,Lapatinib,RPMI7951,2.12749125232924
metformin,Dasatinib,PA1,-6.686975812883663
vinblastine,Sunitinib,PA1,0.3302260274555297
vinblastine,Sorafenib,UWB1289,5.034618319433818
Vorinostat,Sunitinib,RPMI7951,-15.3173389528898
dexamethasone,Sorafenib,NCIH23,-14.3103126367969
geldanamycin,Sorafenib,HT144,2.4288820651169605
Lapatinib,Erlotinib,HCT116,-5.139364658294922
Vorinostat,Dasatinib,SK-OV-3,-2.1147225087047508
vinblastine,Erlotinib,A427,0.5117341060036625
vinblastine,geldanamycin,NCIH2122,-7.19378137939456
dexamethasone,geldanamycin,NCIH2122,-7.734574598544068
metformin,Lapatinib,VCAP,-9.657849716236
vinblastine,Sorafenib,NCI-H460,4.069163600073605
paclitaxel,Sorafenib,NCIH520,0.8838679103249854
Sunitinib,geldanamycin,OVCAR3,-2.99361591491145
Erlotinib,Dasatinib,SKMEL30,-12.281506448986304
metformin,Sunitinib,LOVO,-33.7845903951132
Sunitinib,geldanamycin,SW837,0.0548896546292299
Lapatinib,Dasatinib,SKMEL30,-6.40442742836347
paclitaxel,Sorafenib,OV90,7.37064384347005
Dasatinib,geldanamycin,A375,10.3189652047012
metformin,Lapatinib,OCUBM,-37.189874708633695
paclitaxel,Lapatinib,MDAMB436,-1.6521884315998507
dexamethasone,Sunitinib,T-47D,3.7804230286959792
paclitaxel,Vorinostat,SKMEL30,-0.1058882282985149
Vorinostat,Lapatinib,MDAMB436,0.7001962140772594
paclitaxel,Erlotinib,SK-OV-3,4.398848813602776
Sunitinib,Sorafenib,UACC62,-2.13735826282737
Vorinostat,Erlotinib,OCUBM,3.41802282280863
paclitaxel,Sunitinib,NCIH1650,-3.73521146317182
metformin,geldanamycin,OCUBM,-19.7885249955934
Vorinostat,geldanamycin,OCUBM,-6.50906463316165
Erlotinib,Dasatinib,HT29,9.2088386022025
dexamethasone,Erlotinib,HT29,-18.1070051290659
metformin,Dasatinib,HCT116,-13.14009076535719
vinblastine,Sorafenib,NCIH1650,-13.546032832554804
metformin,Dasatinib,NCIH520,-0.592182005541919
vinblastine,Vorinostat,PA1,-3.0836644409391925
dexamethasone,Lapatinib,SKMEL30,-12.24911226903676
Lapatinib,Dasatinib,UACC62,3.8009101564042025
Vorinostat,Dasatinib,OVCAR3,-1.626797120535592
Lapatinib,Erlotinib,SW837,1.741670982094262
metformin,Vorinostat,HT29,-22.794043146736
vinblastine,geldanamycin,A2058,-0.5413656534735456
dexamethasone,Sunitinib,HT144,-9.362863686069195
vinblastine,Vorinostat,SW837,-2.248378586620203
Sunitinib,Dasatinib,A375,15.4985727759109
vinblastine,Sunitinib,HCT116,0.1118559290339978
vinblastine,Dasatinib,OCUBM,0.60779733849738
vinblastine,Dasatinib,OV90,5.344594984386832
paclitaxel,Sorafenib,OCUBM,2.806732553915905
dexamethasone,Erlotinib,VCAP,-11.338238855350506
Dasatinib,Sorafenib,SW837,-0.5663484394051013
Erlotinib,geldanamycin,HT144,5.26551760771767
paclitaxel,Vorinostat,PA1,-0.4402086584014632
paclitaxel,Lapatinib,A2780,1.39259946716825
dexamethasone,geldanamycin,SW-620,-36.7383193130824
dexamethasone,geldanamycin,HT144,-40.2614734397264
vinblastine,Sunitinib,A375,0.3189015990893598
geldanamycin,Sorafenib,RPMI7951,-8.08045020128908
dexamethasone,Erlotinib,RPMI7951,-38.4849400567448
Lapatinib,Erlotinib,T-47D,0.90894434552881
Vorinostat,Lapatinib,HCT116,-3.11888044241469
metformin,geldanamycin,OVCAR3,-24.96156751119129
Vorinostat,Sorafenib,MDAMB436,-6.426376983867103
dexamethasone,Sunitinib,NCIH1650,-7.156550033865472
Erlotinib,Dasatinib,LOVO,7.827394642815597
Vorinostat,Sunitinib,SW-620,-6.291328737399075
dexamethasone,Erlotinib,HCT116,-30.7199022255615
paclitaxel,Erlotinib,OVCAR3,3.58036180553514
Vorinostat,Dasatinib,HT144,-11.221818720505304
paclitaxel,Sunitinib,HCT116,5.960801203295765
Vorinostat,Dasatinib,RPMI7951,0.2047767843086013
Lapatinib,geldanamycin,LOVO,-1.857666460494741
metformin,Erlotinib,PA1,-44.6057608529879
